SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
Infective pulmonary exacerbation of cystic fibrosis,infective exacerbation of bronchiectasis,C2748249,0.7728198646436336
Infective spondylitis,infective spondylitis,C1328353,1.0
Inferior vena cava dilatation,Inferior vena cava syndrome,C0265072,0.7360947331515112
Inferior vena cava stenosis,Inferior vena cava syndrome,C0265072,0.8545340992446571
Inferior vena caval occlusion,Inferior vena cava syndrome,C0265072,0.8193897801969687
Infertility,Infertility,C0021359,1.0000000000000009
Inflammation,Inflammation,C0021368,1.0000000000000004
Inflammation of wound,inflammation of wound,C0558142,1.0000000000000004
Inflammatory bowel disease,Inflammatory bowel disease,C0021390,1.0000000000000009
Inflammatory marker decreased,immunosuppression,C0021079,0.6220860850614423
Inflammatory marker increased,tumour marker increased,C0876999,0.6801240262947512
Influenza,Influenza,C0021400,1.0000000000000009
Influenza like illness,Influenza like illness,C0521839,1.0000000000000007
Influenza virus test positive,influenza b virus test positive,C2748175,0.8003048286067894
Infrequent bowel movements,Infrequent bowel movements,C1167677,1.0000000000000004
Infusion related reaction,Infusion related reaction,C0948715,0.9999999999999992
Infusion site abscess,infusion site abscess,C1142012,1.0
Infusion site bruising,Injection site bruising,C0521508,0.8995723224309038
Infusion site cellulitis,Injection site cellulitis,C0919590,0.8934108652509651
Infusion site dermatitis,infusion site dermatitis,C1696491,0.9999999999999996
Infusion site discharge,injection site discharge,C1696575,0.8925219606759289
Infusion site discolouration,Injection site discolouration,C0948991,0.9240064106025612
Infusion site discomfort,infusion site discomfort,C2721735,1.0000000000000013
Infusion site erythema,Infusion site erythema,C0877365,0.9999999999999991
Infusion site extravasation,Infusion site extravasation,C1608954,0.9999999999999998
Infusion site haemorrhage,infusion site haemorrhage,C1697538,0.9999999999999982
Infusion site hypersensitivity,Injection site hypersensitivity,C0151726,0.9402156052117624
Infusion site induration,Infusion site induration,C1096034,0.9999999999999998
Infusion site infection,Infusion site infection,C1096714,0.9999999999999997
Infusion site inflammation,Infusion site inflammation,C1112470,1.0000000000000007
Infusion site irritation,Infusion site irritation,C1695897,1.0000000000000007
Infusion site necrosis,Injection site necrosis,C0151795,0.9179528396423323
Infusion site pain,Infusion site pain,C1096035,1.0
Infusion site pruritus,Infusion site pruritus,C1096091,0.9999999999999981
Infusion site rash,Infusion site rash,C1167945,0.9999999999999991
Infusion site reaction,Infusion site reaction,C1096343,1.0000000000000002
Infusion site swelling,Infusion site swelling,C1096049,0.999999999999999
Infusion site urticaria,Infusion site urticaria,C1698976,1.0000000000000004
Infusion site warmth,Infusion site warmth,C1096036,0.9999999999999993
Ingrowing nail,Ingrowing nail,C0027343,1.0000000000000009
Inguinal hernia,Inguinal hernia,C0019294,1.0000000000000002
Inguinal hernia repair,inguinal hernia repair,C0021446,1.000000000000001
Inhibitory drug interaction,Drug interaction,C0687133,0.800862492493299
Initial insomnia,Initial insomnia,C0393760,1.0000000000000002
Injected limb mobility decreased,Joint range of motion decreased,C0877027,0.6463389561618754
Injection related reaction,Infusion related reaction,C0948715,0.8880682604709843
Injection site abscess,Injection site abscess,C0151464,1.0000000000000004
Injection site bruising,Injection site bruising,C0521508,0.9999999999999987
Injection site discolouration,Injection site discolouration,C0948991,0.9999999999999993
Injection site discomfort,Injection site discomfort,C1096267,1.0000000000000007
Injection site dryness,Injection site dryness,C1868843,1.0000000000000007
Injection site erythema,Injection site erythema,C0852625,1.0000000000000004
Injection site extravasation,Injection site extravasation,C0521500,0.9999999999999994
Injection site fibrosis,Injection site fibrosis,C0151649,1.0000000000000004
Injection site haematoma,Injection site haematoma,C0542008,1.0000000000000004
Injection site haemorrhage,Injection site haemorrhage,C0151698,1.000000000000001
Injection site hypersensitivity,Injection site hypersensitivity,C0151726,0.9999999999999992
Injection site induration,Injection site induration,C0521509,1.0000000000000004
Injection site infection,Injection site infection,C0221714,0.9999999999999997
Injection site inflammation,Injection site inflammation,C0151734,0.9999999999999994
Injection site injury,Injection site injury,C1737214,1.0000000000000004
Injection site irritation,Injection site irritation,C0521498,0.9999999999999997
Injection site mass,infusion site mass,C1698447,0.8883364046374812
Injection site necrosis,Injection site necrosis,C0151795,1.0000000000000007
Injection site nodule,injection site nodule,C0542120,1.0000000000000002
Injection site pain,Injection site pain,C0151828,0.9999999999999997
Injection site pruritus,Injection site pruritus,C0852995,0.9999999999999997
Injection site rash,Infusion site rash,C1167945,0.9025497464586392
Injection site reaction,Injection site reaction,C0151735,0.9999999999999994
Injection site swelling,Injection site swelling,C0151605,0.9999999999999997
Injection site urticaria,Injection site urticaria,C0392196,0.9999999999999999
Injection site vesicles,Injection site vesicles,C0854431,0.9999999999999999
Injection site warmth,Injection site warmth,C0858934,1.0000000000000016
Injury,Injury,C3263723,1.0000000000000009
Injury associated with device,Injury associated with device,C2747853,1.000000000000001
Inner ear disorder,Inner ear disorder,C0494559,0.9999999999999986
Insomnia,Insomnia,C0917801,1.0000000000000002
Instillation site complication,instillation site reaction,C1504443,0.8713570566146943
Instillation site irritation,Instillation site irritation,C1096668,1.0000000000000007
Insulin C-peptide decreased,Insulin C-peptide decreased,C0861020,1.0000000000000009
Insulin C-peptide increased,Insulin C-peptide increased,C0861021,0.9999999999999991
Insulin autoimmune syndrome,Insulin autoimmune syndrome,C0854359,1.0
Insulin resistance,Insulin resistance,C0021655,1.0
Insulin resistance test,Insulin resistance,C0021655,0.7805561345368563
Insulin-requiring type 2 diabetes mellitus,Type 2 diabetes mellitus,C0011860,0.8266266908847034
Insulinoma,Insulinoma,C0021670,1.0000000000000007
Insurance issue,economic problem,C0337629,0.6611203816599325
Intellectual disability,Mental retardation,C0025362,0.8832483148935618
Intelligence test abnormal,Thinking abnormal,C0233632,0.6932945195070606
Intensive care,medical induction of coma,C2938988,0.6500001837278467
Intensive care unit acquired weakness,neurological decompensation,C2363747,0.6246575225119241
Intention tremor,Action tremor,C0234376,0.8603284691238462
Intentional device misuse,Intentional misuse,C1142159,0.920320008803271
Intentional dose omission,Intentional misuse,C1142159,0.7609424962178297
Intentional medical device removal by patient,unintentional medical device removal,C0948549,0.8759151422209308
Intentional overdose,intentional overdose,C0520804,0.9999999999999999
Intentional product misuse,Intentional misuse,C1142159,0.9706978236130505
Intentional product use issue,Intentional misuse,C1142159,0.884886945236123
Intentional self-injury,Intentional self-injury,C0853089,0.9999999999999998
Intentional underdose,underdose,C1112363,0.7201418277269188
Intercepted drug administration error,Drug administration error,C1536055,0.8107298851620554
Intercepted drug prescribing error,Drug administration error,C1536055,0.7198744702803226
Intercepted medication error,circumstance or information capable of leading to medication error,C0025115,0.7288906587983435
Intercepted product administration error,Drug administration error,C1536055,0.7229209109187595
Intercepted product dispensing error,circumstance or information capable of leading to medication error,C0025115,0.6752107683131666
Intercepted product prescribing error,circumstance or information capable of leading to medication error,C0025115,0.6950865603878574
Intercepted product storage error,product container issue,C2609218,0.6561964641950468
Intercostal neuralgia,Facial neuralgia,C0015467,0.7032593379989687
Interferon gamma release assay positive,Lymphocyte transformation test positive,C1141863,0.7048637471938324
Interleukin level increased,Immunoglobulins increased,C0151729,0.6746864740828205
Intermenstrual bleeding,Menorrhagia,C0025323,0.8026958556343237
Intermittent claudication,Intermittent claudication,C0021775,1.0000000000000002
Internal fixation of fracture,Fracture,C0016658,0.7224518151801957
Internal haemorrhage,Intraspinal bleeding,C3665900,0.7178228549811567
Internal injury,internal injury,C2937319,1.0000000000000004
International normalised ratio,International normalised ratio increased,C0853225,0.778934889602744
International normalised ratio abnormal,International normalised ratio abnormal,C0580417,1.0000000000000004
International normalised ratio decreased,International normalised ratio decreased,C0853226,1.0
International normalised ratio fluctuation,international normalised ratio fluctuation,C1504327,1.000000000000002
International normalised ratio increased,International normalised ratio increased,C0853225,1.0000000000000002
Interstitial lung disease,Interstitial lung disease,C0206062,1.0000000000000009
Intertrigo,Intertrigo,C0021807,1.000000000000001
Intervertebral disc degeneration,Intervertebral disc degeneration,C0158266,1.0
Intervertebral disc disorder,Intervertebral disc disorder,C0158252,1.0000000000000002
Intervertebral disc displacement,intervertebral disc displacement,C0021818,1.000000000000001
Intervertebral disc injury,Intervertebral disc disorder,C0158252,0.7714136439588639
Intervertebral disc operation,Intervertebral disc disorder,C0158252,0.7154552660890446
Intervertebral disc protrusion,Intervertebral disc protrusion,C0242362,1.0000000000000013
Intervertebral discitis,Intervertebral discitis,C0012624,1.000000000000002
Intestinal angioedema,Small bowel angioedema,C0948050,0.8559933030789888
Intestinal cyst,intestinal cyst,C0948116,1.000000000000001
Intestinal dilatation,intestinal dilatation,C0520562,1.0000000000000002
Intestinal fistula,intestinal fistula,C0021833,0.9999999999999998
Intestinal haematoma,Intestinal haemorrhage,C0267373,0.767541329297221
Intestinal haemorrhage,Intestinal haemorrhage,C0267373,0.9999999999999994
Intestinal infarction,Intestinal infarction,C0241950,0.9999999999999993
Intestinal ischaemia,Intestinal ischaemia,C2004435,1.0000000000000009
Intestinal mass,Intestinal mass,C1142163,1.0000000000000002
Intestinal mucosal tear,Oedema mucosal,C0521481,0.6827671745135003
Intestinal obstruction,Intestinal obstruction,C0021843,1.0000000000000016
Intestinal perforation,Intestinal perforation,C0021845,0.9999999999999998
Intestinal polyp,Large intestine polyp,C0949059,0.8238208266199661
Intestinal pseudo-obstruction,Intestinal pseudo-obstruction,C0021847,1.0000000000000007
Intestinal resection,small intestinal resection,C0192601,0.8295822146869448
Intestinal scarring,intestinal mucosal atrophy,C1963833,0.6455373994419594
Intestinal stenosis,Intestinal stenosis,C0267465,1.0000000000000002
Intestinal tuberculosis,tuberculosis gastrointestinal,C0041312,0.8791385875269099
Intestinal ulcer,Intestinal ulcer,C0151971,1.0000000000000002
Intestinal varices haemorrhage,Oesophageal varices haemorrhage,C0155789,0.7953546896942278
Intestinal villi atrophy,intestinal villi atrophy,C0877214,1.0000000000000004
Intra-abdominal fluid collection,Localised intraabdominal fluid collection,C1868693,0.8551693444484059
Intra-abdominal haematoma,Intra-abdominal haematoma,C0473120,0.9999999999999999
Intra-abdominal haemorrhage,Intra-abdominal haemorrhage,C0236178,0.999999999999999
Intra-aortic balloon placement,balloon atrial septostomy,C0189771,0.6112229442942929
Intracardiac mass,Intracardiac thrombus,C0876998,0.7428560827637746
Intracardiac pressure increased,cardiac index increased,C0520869,0.7288781807169037
Intracardiac thrombus,Intracardiac thrombus,C0876998,1.0000000000000004
Intracranial aneurysm,Intracranial aneurysm,C0007766,1.0000000000000009
Intracranial haematoma,intracranial haematoma,C0596793,1.0000000000000007
Intracranial mass,brain mass,C0742078,0.896358311519504
Intracranial pressure increased,Intracranial pressure increased,C0151740,0.9999999999999986
Intracranial tumour haemorrhage,intracranial tumour haemorrhage,C0854727,1.0000000000000002
Intraductal proliferative breast lesion,Prostatic intraepithelial neoplasia,C0282612,0.614373601019607
Intramedullary rod insertion,intramedullary rod insertion,C2609146,0.9999999999999994
Intraocular haematoma,Eye haemorrhage,C0015402,0.7035378002670162
Intraocular pressure increased,Intraocular pressure increased,C0234708,1.0000000000000009
Intraocular pressure test abnormal,intraocular pressure test abnormal,C1262025,1.0000000000000009
Intrapericardial thrombosis,Intracardiac thrombus,C0876998,0.8044486827404386
Intravascular haemolysis,intravascular haemolysis,C0235574,1.0000000000000002
Intraventricular haemorrhage,Intraventricular haemorrhage,C0240059,1.000000000000001
Intrusive thoughts,Morbid thoughts,C0555358,0.718959092569168
Invasive breast carcinoma,Breast cancer invasive NOS,C0853879,0.9598838614951201
Invasive ductal breast carcinoma,invasive ductal breast carcinoma,C1134719,1.0
Invasive lobular breast carcinoma,invasive lobular breast carcinoma,C0279565,1.0000000000000009
Investigation,diagnostic procedure,C0430022,0.7057293240134302
Investigation abnormal,Laboratory test abnormal,C0438215,0.7604806203476755
Iodine allergy,Iodism,C0238201,0.6609030681052241
Iodine overload,Iodism,C0238201,0.7615809251883155
Iodine uptake decreased,iodine uptake abnormal,C0853609,0.8441850678356215
Iridocyclitis,Iridocyclitis,C0022073,1.0000000000000002
Iridodonesis,heterochromia iridis,C0423318,0.7636672455700017
Iris adhesions,Iris adhesions,C0154933,1.000000000000001
Iris hyperpigmentation,Iris hyperpigmentation,C0877306,1.0000000000000009
Iritis,Iritis,C0022081,0.9999999999999996
Iron binding capacity total decreased,transferrin decreased,C0855666,0.7936990548257276
Iron deficiency,Iron deficiency,C0240066,0.9999999999999997
Iron deficiency anaemia,Iron deficiency anaemia,C0162316,1.0000000000000007
Iron metabolism disorder,Iron overload,C0282193,0.685674955689876
Iron overload,Iron overload,C0282193,0.9999999999999997
Irregular breathing,Respiration irregularity,C0425492,0.930425513689522
Irregular sleep phase,irregular sleep phase,C0854741,1.0000000000000004
Irregular sleep wake rhythm disorder,irregular sleep phase,C0854741,0.8869455168823062
Irritability,Irritability,C0022107,1.0000000000000007
Irritable bowel syndrome,Irritable bowel syndrome,C0022104,1.0000000000000007
Ischaemia,Ischaemia,C0022116,1.0000000000000002
Ischaemic cardiomyopathy,Ischaemic cardiomyopathy,C0349782,1.0000000000000002
Ischaemic cerebral infarction,Ischaemic cerebral infarction,C1262005,0.999999999999999
Ischaemic contracture of the left ventricle,Ischaemic cardiomyopathy,C0349782,0.7493523278580254
Ischaemic enteritis,Colitis ischaemic,C0162529,0.866936727562011
Ischaemic gastritis,Haemorrhagic erosive gastritis,C2242494,0.7699267821120658
Ischaemic hepatitis,Ischaemic hepatitis,C0473117,1.0
Ischaemic neuropathy,Ischaemic neuropathy,C0238309,1.000000000000001
Ischaemic stroke,Ischaemic stroke,C0948008,1.0000000000000002
Isosporiasis,isosporiasis,C0311386,0.999999999999999
Isosthenuria,Hyposthenuria,C0232831,0.7610201062962327
Itching scar,Itch burning,C0858708,0.7625436135056338
JC polyomavirus test positive,jc virus test positive,C2609053,0.9489580185363605
JC virus test positive,jc virus test positive,C2609053,1.0
Jaundice,Jaundice,C0022346,0.9999999999999991
Jaundice cholestatic,Jaundice cholestatic,C0022354,1.0000000000000004
Jaundice hepatocellular,Jaundice hepatocellular,C1262535,0.9999999999999987
Jaundice neonatal,Jaundice neonatal,C0022353,0.9999999999999993
Jaw cyst,jaw cyst,C0022361,1.0000000000000007
Jaw disorder,Jaw disorder,C0022362,1.0
Jaw fracture,Facial bones fracture,C0159321,0.694144824285726
Jaw operation,jaw operation,C0407713,0.9999999999999999
Jejunal stenosis,jejunal stenosis,C0151923,1.0
Job dissatisfaction,loss of employment,C0425083,0.619708410879638
Joint abscess,joint abscess,C1142567,1.0000000000000004
Joint ankylosis,Ankylosing spondylitis,C0038013,0.7279093419522987
Joint arthroplasty,shoulder arthroplasty,C0186662,0.7523326432721765
Joint contracture,Joint contracture,C0009918,1.0000000000000004
Joint crepitation,Joint crepitation,C0231592,1.0000000000000016
Joint debridement,joint destruction,C0541875,0.8265637436301084
Joint dislocation,Joint dislocation,C0012691,1.000000000000001
Joint effusion,Joint effusion,C1253936,1.0000000000000002
